GRUPO;ASIGNACION;IMEI;ICC
COMERCIALES;AAU0151;869731050764877';
COMERCIALES;ABC9690;867162029872025';8959301001049891289F
COMERCIALES;BBI0792;869731051784916';
COMERCIALES;G03256780;864893038330000';
COMERCIALES;GTI1238;867162029874625';8959301000928431191F
COMERCIALES;HBC7530;868166057977670';
COMERCIALES;HBC7559;868166057977134';
COMERCIALES;HCD0696;869731050764273';
COMERCIALES;JAA2998;869731050088962';
COMERCIALES;KAA1851;351608080001816';
COMERCIALES;OCJ0556;869731050088699';
COMERCIALES;PAA8466;867162029886942';8959301000985658827F
COMERCIALES;PAA9970;864180038378142';
COMERCIALES;PAB2496;869731050762665';
COMERCIALES;PAB3063;869731050763812';
COMERCIALES;PAB3197;868166055744718';
COMERCIALES;PAB3347;353701091178836';
COMERCIALES;PAB5471;869731050101260';
COMERCIALES;PAB5946;867162029878436';8959301001025791032F
COMERCIALES;PAB6528;867162029885464';8959301000933072055F
COMERCIALES;PAB7209;869731059247262';
COMERCIALES;PAB8451;869731051783827';
COMERCIALES;PAB9180;869731050762343';
COMERCIALES;PAB9426;864180038467077';
COMERCIALES;PAC3733;869731050104306';
COMERCIALES;PAC4940;869731050101740';
COMERCIALES;PAE1357;869731050773043';
COMERCIALES;PBF9827/526;867162026900357';
COMERCIALES;PBG2345;353701091179669';
COMERCIALES;PBL6153;867162027816065';8959301000928431027F
COMERCIALES;PBQ3357/520;869731050762574';
COMERCIALES;PBQ5306;869731050772862';
COMERCIALES;PBT1089;353701091165247';
COMERCIALES;PBT5021/506;867162027818673';
COMERCIALES;PBT6261;353701092558663';
COMERCIALES;PBX1015;869731050763663';
COMERCIALES;PBX9303;867162029876539';8959301000933071800F
COMERCIALES;PCC5687;867162029886249';8959301000933071933F
COMERCIALES;PCJ3364;864180038526930';
COMERCIALES;PCL4141/549;868789021047468';8959301000941574506f
COMERCIALES;PCL7967;867162029880010';8959301000933072188F
COMERCIALES;PCQ3813;863844054527756';
COMERCIALES;PCQ7823;869731050100239';
COMERCIALES;PCS9017;867162029873890';8959301000927514625F
COMERCIALES;PDD7635;867162029899937';8959301001049890547F
COMERCIALES;PDP3741;868166055304992';
COMERCIALES;PDQ5169;869731050763481';
COMERCIALES;PDZ3397;869731050100486';
COMERCIALES;PFF9896;869731050762855';
COMERCIALES;PFG3535;868166055307060';
COMERCIALES;PFH7077;869731050787613';
COMERCIALES;PZN0632;869731050762798';
COMERCIALES;TBF2031;869731050100247';
COMERCIALES;TBK3045;869731050768290';
COMERCIALES;XAA2391;353701091176418';
INTRAEXPRESS;PAE1820 (106/5077)..;863457050186608';8959301001049890927F
INTRAEXPRESS;PAE1821 (99/5067)..;867162027113513';8959301001049890414F
INTRAEXPRESS;PAE1822 (93/5058)..;863457050178142';8959301001049891149F
INTRAEXPRESS;PAE1823 (91/5054)..;867162029751047';8959301001049891453F
INTRAEXPRESS;PAE1824 (107/5079)..;867162027717438';8959301001049891107F
INTRAEXPRESS;PAE1825 (108/5080)..;867162027347970';8959301001049890463F
INTRAEXPRESS;PAE1826 (117/5091)..;867162029869104';8959301001045629394F
INTRAEXPRESS;PAE1830 (103/5073)..;867162029872694';8959301001049891511F
INTRAEXPRESS;PAE1832 (114/5087)..;867162029870904';
INTRAEXPRESS;PAE1833 (113/5086)..;867162029885795';8959301001049891115F
INTRAEXPRESS;PAE1835 (119/5093)..;867162029864436';
INTRAEXPRESS;PAE1836 (102/5071)..;867162027358183';8959301001049890851F
INTRAEXPRESS;PAE1843 (100/5068)..;867162027290824';8959301001049890711F
INTRAEXPRESS;PAE1844 (105/5075)..;867162027362565';8959301001049891099F
INTRAEXPRESS;PAE1845 (98/5065)..;867162029892056';8959301001049891719F
INTRAEXPRESS;PAE3207 (111/5083)..;867162027931849';
INTRAEXPRESS;PAE3208 (94/5059)..;867162029888104';8959301001049891891F
INTRAEXPRESS;PAE3210 (118/5082)..;867162029279486';8959301001049891164F
INTRAEXPRESS;PAE3234 (101/5072)..;867162029876935';8959301001049891602F
INTRAEXPRESS;PAE3268 (115/5088)..;863457050176260';8959301001049891180F
INTRAEXPRESS;PAE3319 (112/5085)..;867162029872223';8959301001049891727F
INTRAEXPRESS;PAE3320 (90/5052)..;867162027276302';8959301001049891743F
INTRAEXPRESS;PAE3346 (97/5064)..;863457050179488';8959301000928331755F
NACIONAL;JAA1099 (23/1098);867162029828548';8959301000928331789F
NACIONAL;PAA4857 (19/1106);867162029831856';8959301000928331912F
NACIONAL;PAB0095 (30/1111);867162029859881';8959301000927514377F
NACIONAL;PAB0733 (32/1075);867162029816428';8959301000941577392F
NACIONAL;PAB1246 (03/1285);867162027823798';8959301000927515283F
NACIONAL;PAB7355 (60/1109);867162029812450';8959301000928331722F
NACIONAL;PAC2079 (35/1116);867162029833340';
NACIONAL;PAC2168 (02/1072);867162027808062';8959301000928332217F
NACIONAL;PAC2509 (24/1078);867162029814456';
NACIONAL;PAC3108 (01/1082);867162029824786';8959301000928332175F
NACIONAL;PAC3154 (11/1108);867162029901501';8959301001049890984F
NACIONAL;PAC3343 (47/1104);867162029817251';
NACIONAL;PAC3506 (76/1115);867162029824018';8959301000927514336F
NACIONAL;PAC3507 (22/1074);867162029817608';8959301000927527791F
NACIONAL;PAC4179 (12/1102);867162029855681';8959301000927527858F
